LEVEL  | TIME                | MODULE              | LINE | MESSAGE
INFO   | 2025-07-05 16:08:05 | app.f_api            | 9 | 🚀App is starting up...
INFO   | 2025-07-05 16:08:10 | app.f_api            | 9 | 🚀App is starting up...
INFO   | 2025-07-05 16:08:17 | app.f_api            | 9 | 🚀App is starting up...
INFO   | 2025-07-05 16:08:29 | app.f_api            | 9 | 🚀App is starting up...
INFO   | 2025-07-05 16:08:39 | app.f_api            | 9 | 🚀App is starting up...
INFO   | 2025-07-05 16:09:00 | app.f_api            | 9 | 🚀App is starting up...
INFO   | 2025-07-05 16:17:56 | app.f_api            | 9 | 🚀App is starting up...
INFO   | 2025-07-05 16:21:26 | app.f_api            | 9 | 🚀App is starting up...
INFO   | 2025-07-05 16:25:31 | app.f_api            | 9 | 🚀App is starting up...
INFO   | 2025-07-05 16:26:01 | app.f_api            | 9 | 🚀App is starting up...
INFO   | 2025-07-05 16:26:50 | app.f_api            | 9 | 🚀App is starting up...
INFO   | 2025-07-05 16:27:28 | app.f_api            | 9 | 🚀App is starting up...
INFO   | 2025-07-05 16:28:09 | app.f_api            | 9 | 🚀App is starting up...
INFO   | 2025-07-05 16:28:15 | app.f_api            | 9 | 🚀App is starting up...
INFO   | 2025-07-05 16:28:30 | app.f_api            | 9 | 🚀App is starting up...
INFO   | 2025-07-05 16:30:08 | app.f_api            | 9 | 🚀App is starting up...
INFO   | 2025-07-05 16:30:53 | app.f_api            | 9 | 🚀App is starting up...
INFO   | 2025-07-05 16:31:08 | app.f_api            | 9 | 🚀App is starting up...
INFO   | 2025-07-05 16:32:24 | app.f_api            | 9 | 🚀App is starting up...
INFO   | 2025-07-05 16:33:12 | app.f_api            | 9 | 🚀App is starting up...
INFO   | 2025-07-05 16:33:43 | app.f_api            | 9 | 🚀App is starting up...
INFO   | 2025-07-05 16:41:10 | app.f_api            | 9 | 🚀App is starting up...
INFO   | 2025-07-05 16:42:43 | app.f_api            | 9 | 🚀App is starting up...
INFO   | 2025-07-05 16:43:13 | app.f_api            | 9 | 🚀App is starting up...
INFO   | 2025-07-05 16:43:25 | app.f_api            | 9 | 🚀App is starting up...
INFO   | 2025-07-05 16:43:46 | app.f_api            | 9 | 🚀App is starting up...
